customer_id,recency,frequency,monetary,total_quantity,unique_products,country
12346.0,73,11,372.86,70,26,United Kingdom
12349.0,114,2,1268.52,474,47,Italy
12355.0,111,1,488.21000000000004,303,22,Bahrain
12358.0,94,2,1697.93,590,34,Austria
12359.0,79,5,2012.03,877,82,Cyprus
12360.0,107,3,780.04,756,44,Austria
12361.0,6,3,321.35,144,14,Belgium
12362.0,282,1,130.0,1,1,Belgium
12366.0,177,1,500.24,296,3,Cyprus
12368.0,172,1,917.6999999999999,330,18,Cyprus
12369.0,185,1,348.32,209,9,Austria
12370.0,168,3,774.62,252,33,Austria
12371.0,189,2,607.6800000000001,252,32,Switzerland
12373.0,168,2,763.0500000000001,319,31,Austria
12374.0,132,1,1388.54,798,36,Austria
12377.0,133,1,1210.96,835,47,Switzerland
12378.0,106,1,1407.7,787,82,Switzerland
12379.0,78,1,367.48,163,18,Belgium
12380.0,9,7,6951.49,2228,119,Belgium
12388.0,126,1,461.62,266,26,Australia
12389.0,111,2,563.03,252,23,Australia
12391.0,8,5,2285.18,911,159,Cyprus
12392.0,135,1,234.75000000000003,73,7,Australia
12395.0,38,2,1376.82,861,67,Belgium
12396.0,218,1,931.43,591,65,RSA
12399.0,63,2,539.45,749,31,Belgium
12402.0,65,3,725.25,347,29,Belgium
12403.0,65,1,591.6600000000001,164,4,Denmark
12404.0,226,1,63.24,1,1,Finland
12406.0,140,2,1629.2,1028,32,Denmark
12408.0,42,1,194.1,100,10,Belgium
12409.0,69,3,7115.56,4510,87,Switzerland
12410.0,46,1,320.38,130,14,Switzerland
12412.0,31,2,1176.79,1013,47,Denmark
12414.0,7,3,390.0,195,9,Austria
12415.0,41,3,2717.98,1794,95,Australia
12416.0,200,1,202.56,132,11,Australia
12417.0,50,7,1977.25,979,102,Belgium
12418.0,120,2,879.3100000000001,349,36,Switzerland
12421.0,49,1,77.8,29,4,Spain
12422.0,69,10,2998.07,1635,64,Australia
12423.0,9,1,298.8,82,13,Denmark
12424.0,92,1,446.54,422,15,Australia
